name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
San Francisco Armory,18,35973054,,studio,,,"POLYGON ((-122.4211137 37.7681047, -122.4204911 37.768143, -122.420477 37.7681582, -122.420444 37.7681602, -122.4204295 37.7681468, -122.4202001 37.7681609, -122.4201874 37.7681754, -122.4201524 37.7681775, -122.420137 37.7681669, -122.4201348 37.7681437, -122.4201529 37.7681278, -122.4200987 37.7675765, -122.42008 37.7675655, -122.4200775 37.7675386, -122.4200937 37.7675252, -122.4207262 37.7674863, -122.4210509 37.7674664, -122.4211137 37.7681047))",POINT (-122.420602 37.7678157),6031.2,64919.7
San Francisco Friends School,19,36745548,,school,,,"POLYGON ((-122.4234021 37.7691847, -122.4226769 37.7692256, -122.4226718 37.7691758, -122.4227373 37.7691721, -122.4227028 37.7688389, -122.4226409 37.7688427, -122.422635 37.7687857, -122.4233589 37.7687403, -122.42336 37.768752, -122.4233848 37.7687505, -122.4233899 37.7688023, -122.4233651 37.7688038, -122.4234021 37.7691847))",POINT (-122.4230438 37.7689815),2952.5,31780.5
Peixotto Clubhouse,20,38898762,,yes,,,"POLYGON ((-122.437744 37.7657017, -122.43778 37.7656246, -122.4377418 37.7656132, -122.4377469 37.7656033, -122.4376156 37.765568, -122.437608 37.765585, -122.4375704 37.765572, -122.4375378 37.7656452, -122.4375764 37.765656, -122.4375748 37.7656594, -122.4377048 37.7656952, -122.4377068 37.7656919, -122.437744 37.7657017))",POINT (-122.4376606 37.7656332),193.9,2087.3
,21,42916771,,parking,,,"POLYGON ((-122.4194102 37.7707178, -122.4194276 37.7706423, -122.4195298 37.7706562, -122.4195625 37.7705206, -122.4194602 37.7705062, -122.4195016 37.7703314, -122.4196407 37.7704551, -122.419655 37.770518, -122.4196654 37.7705639, -122.4196099 37.7707404, -122.4194102 37.7707178))",POINT (-122.4195556 37.7705633),509.4,5483.1
TAP Plastics,22,42916776,,yes,,,"POLYGON ((-122.4188111 37.7712354, -122.4188258 37.7711273, -122.4182393 37.77108, -122.4182684 37.7711875, -122.4188111 37.7712354))",POINT (-122.418538 37.771157),591.0,6361.8
Cash & Carry,23,42916777,,yes,,,"POLYGON ((-122.4181574 37.7708354, -122.4181199 37.7707039, -122.4183405 37.7707192, -122.4185049 37.770181, -122.4187577 37.770219, -122.4187274 37.7703233, -122.4186344 37.77063, -122.4185617 37.7708659, -122.4181574 37.7708354))",POINT (-122.4184954 37.7705572),1937.7,20857.7
Discount Builders Supply,24,42916778,,yes,,,"POLYGON ((-122.4194102 37.7707178, -122.4194276 37.7706423, -122.4195298 37.7706562, -122.4195625 37.7705206, -122.4194602 37.7705062, -122.4195016 37.7703314, -122.4187787 37.7702252, -122.4187484 37.770325, -122.4187274 37.7703233, -122.4186344 37.77063, -122.4188822 37.770665, -122.4194102 37.7707178))",POINT (-122.4190916 37.7704835),3194.8,34388.7
,25,42916779,,parking,,,"POLYGON ((-122.4216312 37.7723919, -122.4216054 37.7721409, -122.4214853 37.7721477, -122.4214853 37.772107, -122.4210733 37.7721273, -122.4210475 37.772168, -122.4215797 37.7725751, -122.4216913 37.7724869, -122.4216312 37.7723919))",POINT (-122.4214184 37.7722916),1509.2,16244.9
,26,42916780,,parking,,,"POLYGON ((-122.4183405 37.7707192, -122.4181199 37.7707039, -122.4181005 37.7706482, -122.4181595 37.7706058, -122.4181769 37.7705814, -122.4181836 37.7705486, -122.4181762 37.7705009, -122.4180771 37.770412, -122.4179912 37.770336, -122.4179697 37.7702851, -122.4179331 37.7702389, -122.4178713 37.7702064, -122.41789 37.7701402, -122.41795 37.7700943, -122.4185049 37.770181, -122.4183405 37.7707192))",POINT (-122.4182187 37.7703598),2125.3,22876.5
,27,42916782,,yes,,,"POLYGON ((-122.4193549 37.771404, -122.4194983 37.7710627, -122.4189866 37.7710166, -122.4189449 37.7711387, -122.4188825 37.7713292, -122.4188752 37.7713516, -122.4191283 37.771378, -122.4193549 37.771404))",POINT (-122.4191803 37.7712069),1697.8,18275.2
